elapsed_s,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,v_NH3_delta_pct,v_H2S_delta_pct,v_CH4_delta_pct,bme_delta_log_inverted,v_NH3_slope_5m,v_NH3_accel_5m,v_NH3_volatility_5m,v_NH3_slope_15m,v_NH3_accel_15m,v_NH3_volatility_15m,v_NH3_slope_30m,v_NH3_accel_30m,v_NH3_volatility_30m,v_H2S_slope_5m,v_H2S_accel_5m,v_H2S_volatility_5m,v_H2S_slope_15m,v_H2S_accel_15m,v_H2S_volatility_15m,v_H2S_slope_30m,v_H2S_accel_30m,v_H2S_volatility_30m,v_CH4_slope_5m,v_CH4_accel_5m,v_CH4_volatility_5m,v_CH4_slope_15m,v_CH4_accel_15m,v_CH4_volatility_15m,v_CH4_slope_30m,v_CH4_accel_30m,v_CH4_volatility_30m,bme_delta_log_inverted_slope_5m,bme_delta_log_inverted_accel_5m,bme_delta_log_inverted_volatility_5m,bme_delta_log_inverted_slope_15m,bme_delta_log_inverted_accel_15m,bme_delta_log_inverted_volatility_15m,bme_delta_log_inverted_slope_30m,bme_delta_log_inverted_accel_30m,bme_delta_log_inverted_volatility_30m,q10_factor,biological_age_h,session_minute,time_bin,session_id,session_time_h,control_drift_NH3,adjusted_NH3,z_NH3,channel_index_NH3,control_drift_H2S,adjusted_H2S,z_H2S,channel_index_H2S,control_drift_CH4,adjusted_CH4,z_CH4,channel_index_CH4,control_drift_BME,adjusted_BME,z_BME,channel_index_BME,change_index,cusum_NH3,cusum_active_NH3,cusum_H2S,cusum_active_H2S,cusum_CH4,cusum_active_CH4,cusum_BME,cusum_active_BME,protein_gas_active,primary_event,supporting_channel_count,pca_1,pca_2,anomaly_score,is_anomaly
2074.385,1343.5,0.168,8941.5,1.1175000000000002,159.0,0.02,30.09,93602.0,71.02000000000001,89500.0,-0.0036349722594217,-2.220446049250313e-16,-0.0207759168963319,0.0949660782745934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.100806613025136,0.0933276739016625,0,0,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.0,0.0020854501789659666,-0.005720422438387667,-0.19293674123843976,0.0,-0.005520893486031495,0.005520893486031273,0.0842793226480953,0.0021069830662023828,0.007495576146391034,-0.028271493042722935,-0.35859769021942817,0.0,0.07798790081492138,0.01697817745967202,0.30649169622370964,0.007662292405592741,0.2653017174569019,0.0,False,0.0,False,0.0,False,0.0,False,False,False,0,-0.046479662276189104,0.21573943741169072,-0.035703348389251155,False
2314.5,1341.5,0.168,8545.5,1.068,158.0,0.02,30.02,93611.0,71.62,94250.0,-0.0036349722594217,-2.220446049250313e-16,-0.064150943396226,0.043253877227283,-1.6659817975422784e-16,,0.0,3.317065889828425e-16,,0.0,3.317065889828425e-16,,0.0,1.9385690337952546e-17,,0.0,3.090425250606035e-17,,0.0,3.090425250606035e-17,,0.0,-0.6436571275097656,,0.0162181165453044,-0.8317082875762203,,0.02904878067846905,-0.8317082875762203,,0.02904878067846905,-0.7161141388867149,,0.0209504148740292,-0.6479851027815068,,0.02246422430786425,-0.6479851027815068,,0.02246422430786425,6.071277011896216,0.4985554964729086,5,1,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.08333333333333333,0.0010622439281926747,-0.004697216187614374,-0.15842633894468133,0.0,-0.0025079799298361044,0.0025079799298358824,0.03828562355647454,0.0009571405889118635,0.004391483184486025,-0.06854242658071202,-0.8693971633098708,0.0,0.049808056530619454,-0.006554179303336453,-0.11831667661652105,0.0,0.033499920611915215,0.0,False,0.0,False,0.0,False,0.0,False,False,False,0,-0.4607615337686141,0.30329837769838347,-0.011378233965893936,False
2614.475,1345.0,0.168,9075.5,1.1345,158.0,0.02,30.05,93623.0,71.66499999999999,98000.0,-0.0036349722594217,-2.220446049250313e-16,-0.0058794431488937,0.0042372248848311,-2.382530962007946e-16,3.0028503176723557e-15,0.0,2.6034254561731067e-16,1.1775170185122797e-15,0.0,2.6034254561731067e-16,1.1775170185122797e-15,0.0,-5.2692650584621806e-17,-1.1620013517183869e-15,0.0,6.7604638057634195e-18,-8.595297792492379e-16,0.0,6.7604638057634195e-18,-8.595297792492379e-16,0.0,0.8568693812100193,20.92983174282082,0.0263400835230251,-0.0218198909146906,10.935037685819758,0.0272101251208242,-0.0218198909146906,10.935037685819758,0.0272101251208242,-0.456758264268047,3.4688107414980784,0.0114755078924147,-0.6216333772853952,-1.0488708004688154,0.0346882060844354,-0.6216333772853952,-1.0488708004688154,0.0346882060844354,6.083915012964037,1.0049439392144712,10,2,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.16666666666666666,2.6249991541293233e-05,-0.0036612222509629934,-0.12348463730758377,0.0,-0.0012733506720663504,0.0012733506720661284,0.019438363085025896,0.0004859590771256474,0.0014970849573123738,-0.007376528106206074,-0.09356442324170301,0.0,0.0307205096583903,-0.0264832847735592,-0.4780788097605679,0.0,0.017008567699397657,0.0,False,0.0,False,0.0,False,0.0,False,False,False,0,-0.33290025071599194,-0.124847860542937,-0.06216943975835132,False
2914.64,1351.5,0.169,9165.5,1.146,158.0,0.02,30.1,93633.0,71.79,101250.0,0.0022957719533198,-2.220446049250313e-16,0.0041975832096674,-0.0283880024312453,0.0060225717501781,0.0110442663400735,0.0005477225575051,0.0021237129439554,0.0111566962965475,0.0003518657752744,0.0021237129439554,0.0111566962965475,0.0003415650255319,-6.066676291604448e-17,6.262248565060542e-16,0.0,-8.054758467277226e-18,-2.706730128705022e-16,0.0,7.288089966400555e-18,-2.2355480636684527e-16,0.0,-0.0152780809963279,-13.458528467886184,0.0066988805034813,0.2541033412618058,7.938822900779525,0.0345642259321067,0.249599162223038,7.938822900779525,0.0343264867457725,-0.3864705361252414,0.3570633089921194,0.0104669383818353,-0.5454611186054189,0.2320291404203773,0.0403718100007803,-0.5454611186054189,0.2320291404203773,0.043703627566773,6.105036835842238,1.512883656414514,15,3,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.25,-0.0006014791325172134,0.0028972510858370137,0.09771764044902913,0.0024429410112257284,-0.00012711292017136017,0.00012711292017113812,0.00194044511797782,4.85111279494455e-05,-0.0017934845538950996,0.0059910677635625,0.07599114269327845,0.0018997785673319611,-0.02331350629056913,-0.00507449614067617,-0.0916052935205068,0.0,0.09398390548832206,0.0,False,0.0,False,0.0,False,0.0,False,False,False,0,0.009488517007704256,-0.04201133467387297,-0.06625577876669281,False
3214.615,1352.5,0.169,9374.0,1.172,159.0,0.02,30.14,93643.0,71.83,101000.0,0.0022957719533198,-2.220446049250313e-16,0.0269804254116319,-0.0259158132858562,0.0051595308736238,-0.0233487106981003,0.0004472135954999,0.005572409644421,0.0266647018458703,0.0005163977794943,0.0036676971333721,0.0165935007298135,0.0004830458915396,-1.2992072183715342e-17,6.908277381128074e-16,0.0,2.73409567727217e-17,1.2312248221348428e-17,0.0,-1.0960770376929837e-17,-2.1011253727055664e-16,0.0,0.2291716903280323,4.23962526139485,0.011881708631334,0.413578929512962,4.807648918312405,0.0344231372909615,0.2790236848388642,5.024014854784531,0.0381737724722342,0.0398033969188129,4.657142147552472,0.0018934517257715,-0.274996858025517,1.5871169397425866,0.022216109023244,-0.4182614252246058,0.7081770247071407,0.0453557574346665,6.12198707929067,2.02215903154438,20,4,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.3333333333333333,-0.0006470672344702933,0.0029428391877900934,0.09925522266866535,0.0024813805667166337,0.0042697849698162,-0.004269784969816422,-0.06518049768930241,0.0,-0.0039444544465927125,0.030924879858224612,0.39225344309599935,0.009806336077399985,-0.039521401135302926,0.013605587849446727,0.2456093834572381,0.006140234586430952,0.3260106424362727,0.0,False,0.0,False,0.0,False,0.0,False,False,False,0,0.3170680421479838,-0.08850917990322302,-0.054885403341111916,False
3515.68,1354.0,0.169,9460.5,1.183,161.0,0.02,30.18,93649.0,71.83,100700.0,0.0022957719533198,-2.220446049250313e-16,0.0366193201893862,-0.0229410961691134,-4.126725003161591e-05,-0.108593757348291,0.0004472135954999,0.0053549687937673,0.0279748603641877,0.0005936168397046,0.0040479458409556,0.0159061557862664,0.0006405126152203,-3.8096368683153554e-17,-4.106268808752991e-16,0.0,-4.818087763192428e-18,-1.4347049651835532e-16,0.0,4.508135858226418e-18,-1.1560200036516041e-16,0.0,0.1225234039079347,-0.2902309838741211,0.00465832587953,0.177121164595831,0.0760374527333137,0.0150295740205139,0.2622893454247201,3.3444833526723627,0.0400791140697419,0.0536379922182169,-0.427930250117278,0.002858866395564,-0.0276627266057382,2.6809596805880798,0.0072236079883548,-0.2993169407790862,0.9822251443704196,0.0432100709114956,6.138984384003546,2.5348473695593,25,5,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.4166666666666667,0.0007491950647146199,0.0015465768886051804,0.05216249467168237,0.0013040623667920593,0.00162374344252716,-0.0016237434425273821,-0.02478729173760391,0.0,-0.0064538051240431325,0.04307312531342933,0.5463426789871472,0.013658566974678679,-0.04858055179519349,0.025639455626080086,0.4628459246438826,0.011571148116097064,0.4649862436529752,0.0,False,0.0,False,0.04634267898714717,False,0.0,False,False,False,0,0.4765070499902758,-0.09086738137096345,-0.043809808378134085,False
3815.67,1352.5,0.169,9356.5,1.1695,161.0,0.02,30.23,93657.0,71.72,102300.0,0.0022957719533198,-2.220446049250313e-16,0.0247897675075969,-0.0387049694021776,-8.749607208165262e-16,0.0410695866950915,0.0,-0.0002152212875358,-0.0163504151487957,0.0003518657752744,0.0031929494073818,0.0116020541720714,0.0006149478998583,-6.808281619675195e-18,-4.776304806537986e-16,0.0,1.2626648665645013e-17,-7.675692949787841e-17,0.0,-4.2579086429299996e-18,-9.32924788430218e-17,0.0,-0.1936546232167369,-5.612991868702296,0.0063678881899653,0.0852329551447628,-1.6626456729031966,0.010351788435316,0.2336948653315352,2.306453901360448,0.0406824328774421,-0.2559647504977803,-4.161011735903672,0.0064935073712063,-0.0449371185574712,2.2661351177572566,0.0070448367723448,-0.2468429189955507,1.0422562543144611,0.0397785385361995,6.160297393888573,3.047228274742086,30,6,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.5,0.0019349817298158997,0.00036079022350390044,0.012168627534638992,0.00030421568836597483,-0.0026579705168361797,0.0026579705168359577,0.040575308207689155,0.001014382705192229,-0.008365564711487267,0.03315533221908416,0.4205446643463246,0.010513616608658115,-0.0544002501236094,0.015695280721431795,0.28333272063183207,0.007083318015795802,0.3268489818141834,0.0,False,0.0,False,0.0,False,0.0,False,False,False,0,0.3158841126589013,-0.08598653186195232,-0.04712881926651097,False
4115.74,1355.0,0.169,9097.5,1.137,163.0,0.02,30.23,93662.0,71.82,98750.0,0.0022957719533198,-2.220446049250313e-16,-0.0036887852448587,-0.003386700225828,0.0059957647002606,0.1024761993273613,0.0004472135954999,-0.00043023916288,-0.0388730685528463,0.0004140393356054,0.0028266998089594,0.0075166208922724,0.0005920934999167,1.686779651196634e-17,2.251025077838373e-15,0.0,-1.726049321998428e-17,3.462862535411176e-17,0.0,1.2971755969927285e-17,-6.103474023428535e-18,0.0,-0.3753082356341173,-2.396528008398278,0.0103947101931636,-0.1509761897376205,-1.8774191291390487,0.014991426121049,0.1272384452160821,1.0290184042958144,0.0306219251329921,0.3878399491577772,7.052696716994026,0.0103913250582549,0.0253307203111643,0.633196936983236,0.0110958247820838,-0.0795791884181681,1.2456949773053625,0.0191144250199659,6.160297393888573,3.5606708605436843,35,7,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.5833333333333334,0.0027190839116000534,-0.0004233119582802533,-0.014277342388174094,0.0,-0.005793446724304539,0.005793446724304317,0.08843999018593429,0.002210999754648357,-0.00944801155341514,0.005759226308556439,0.0730504486826491,0.0018262612170662274,-0.058923377335523094,0.05553667710969509,1.0025534490029848,0.02506383622507462,0.7222435092102203,0.0,False,0.0,False,0.0,False,0.5025534490029848,False,False,False,0,0.549356697795009,0.27525401442960445,-0.019227487804886534,False
4415.74,1361.0,0.17,9004.0,1.126,165.0,0.021,30.26,93670.0,72.03,96450.0,0.0082265161660612,0.0499999999999998,-0.013327680022613,0.020179964203665,0.010309067667836,0.0008480977052971,0.0004472135954998,0.0047145308692396,0.0027201348082699,0.0004879500364742,0.0025332162886696,0.0015099468194378,0.0005832922809856,0.008587901421778,0.0811226384467758,0.0,0.0053576089338395,0.0215731162481836,0.0004879500364742,0.0016666994503546,0.0018408213033411,0.0003790490217894,-0.1535470175786157,3.692003317925317,0.005049752469166,-0.2854185067665828,-2.373953922691511,0.0218494851197918,-0.0508998266219905,-0.4288093430391332,0.0198992000070238,0.2898362306423079,-2.6255515965651752,0.0085598582645649,0.2635616246501752,1.062594947776507,0.0213267662715993,0.0513329087038875,1.349458054074868,0.0160828857670897,6.17312070023574,4.0742424316819,40,8,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.6666666666666666,0.0020774641579140466,0.0061490520081471526,0.20739343447718922,0.00518483586192973,-0.0012705498948927195,0.05127054989489252,0.7826717229502512,0.01956679307375628,-0.011251809047963067,-0.0020758709746499324,-0.026330499615924163,0.0,-0.06294108423275643,0.08312104843642143,1.5005091793677172,0.03751272948419293,1.778201070544185,0.0,False,0.2826717229502512,False,0.0,False,1.503062628370702,False,False,False,0,0.8109820186887424,0.642516825357452,0.04445747608507744,True
4716.225,1368.0,0.171,9741.5,1.2175,168.0,0.021,30.29,93666.0,71.9,93850.0,0.0141572603788029,0.0499999999999998,0.0668503992650699,0.0475069405228854,0.0119602698391568,0.0863847545778441,0.0004472135954997,0.0089981434090037,0.0500804441058439,0.0007745966692415,0.0035464198639744,-0.0020971592353938,0.0007302967433401,-7.513064730547661e-18,-2.337053017398741e-16,0.0,0.0053555176681021,0.0297113567402124,0.0004879500364742,0.0026667542783346,0.0050551454086775,0.0004794633014853,1.2227987817000998,19.77670559792972,0.0323198855195979,0.1972881630917981,0.0563366259190638,0.0328371885578066,-0.0255232314756145,-0.823397570666059,0.0260414622980485,0.3863220961208093,0.1661326318174878,0.0107012076773258,0.3584430428700571,2.1133620840740104,0.0270875757905357,0.1549735008523397,1.401805999479551,0.0275921089968609,6.185970699642536,4.590179739661667,45,9,house_A_pcb_A_S012_Anish_chicken3_confirmation_chicken_20260804_182348,0.75,0.0006474849852414136,0.013509775393561487,0.4556537681213066,0.011391344203032665,0.0021582936435362264,0.04784170635646358,0.7303286354380115,0.018258215885950287,-0.013891830119380675,0.08074222938445058,1.0241403563892766,0.025603508909731915,-0.0678225567847425,0.1153294973076279,2.0819392033333988,0.05204848008333497,2.5380249732799336,0.0,False,0.5130003583882627,False,0.5241403563892766,False,3.085001831704101,False,False,False,0,1.6152817306682137,0.41135442982121934,0.07387613623172096,True
