received_timestamp_iso,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms
2026-08-10T13:00:18,1230.0,0.15375,7170.0,0.89625,175.0,0.021875,29.6,93570.46,60.22,32990.0
2026-08-10T13:00:18,1214.0,0.15175,7062.0,0.88275,171.0,0.021375,29.66,93573.66,60.08,30955.0
2026-08-10T13:00:18,1189.0,0.148625,6984.0,0.873,167.0,0.020875,29.71,93575.73,59.93,34097.0
2026-08-10T13:00:18,1156.0,0.1445,6914.0,0.86425,164.0,0.0205,29.75,93581.45,59.79,37285.0
2026-08-10T13:00:18,1122.0,0.14025,7367.0,0.920875,181.0,0.022625,29.62,93576.27,60.17,34070.0
2026-08-10T13:00:18,1189.0,0.148625,7105.0,0.888125,171.0,0.021375,29.7,93574.59,60.01,37285.0
2026-08-10T13:00:18,1165.0,0.145625,6990.0,0.87375,165.0,0.020625,29.74,93572.75,59.84,40545.0
2026-08-10T13:00:18,1130.0,0.14125,6893.0,0.861625,161.0,0.020125,29.77,93579.7,59.68,43836.0
2026-08-10T13:00:18,1052.0,0.1315,6859.0,0.857375,158.0,0.01975,29.8,93578.73,59.56,47717.0
2026-08-10T13:00:37,1185.0,0.148125,7595.0,0.949375,177.0,0.022125,29.61,93575.12,60.04,40239.0
2026-08-10T13:00:39,1161.0,0.145125,7270.0,0.90875,167.0,0.020875,29.69,93578.62,59.88,43258.0
2026-08-10T13:00:42,1082.0,0.13525,7105.0,0.888125,161.0,0.020125,29.74,93577.14,59.73,46159.0
2026-08-10T13:00:43,1022.0,0.12775,7000.0,0.875,157.0,0.019625,29.76,93580.94,59.6,50127.0
2026-08-10T13:00:45,991.0,0.123875,6949.0,0.868625,154.0,0.01925,29.8,93577.95,59.48,52664.0
2026-08-10T13:01:08,1263.0,0.157875,7686.0,0.96075,174.0,0.02175,29.67,93581.86,59.98,43701.0
2026-08-10T13:01:11,1141.0,0.142625,7301.0,0.912625,164.0,0.0205,29.74,93574.37,59.79,46512.0
2026-08-10T13:01:13,1068.0,0.1335,7120.0,0.89,159.0,0.019875,29.76,93573.03,59.62,50245.0
2026-08-10T13:01:15,1029.0,0.128625,6983.0,0.872875,155.0,0.019375,29.79,93572.05,59.47,52925.0
2026-08-10T13:01:16,1012.0,0.1265,6913.0,0.864125,153.0,0.019125,29.8,93573.17,59.37,55761.0
2026-08-10T13:01:40,1274.0,0.15925,7741.0,0.967625,173.0,0.021625,29.62,93578.66,59.99,45812.0
2026-08-10T13:01:43,1247.0,0.155875,7349.0,0.918625,162.0,0.02025,29.7,93577.36,59.87,49117.0
2026-08-10T13:01:44,1231.0,0.153875,7171.0,0.896375,156.0,0.0195,29.74,93574.37,59.88,52373.0
2026-08-10T13:01:46,1213.0,0.151625,7038.0,0.87975,152.0,0.019,29.75,93573.49,59.7,55184.0
2026-08-10T13:01:49,1193.0,0.149125,6972.0,0.8715,148.0,0.0185,29.75,93576.67,59.54,57645.0
2026-08-10T13:02:13,1309.0,0.163625,7819.0,0.977375,170.0,0.02125,29.53,93576.82,60.09,47770.0
2026-08-10T13:02:15,1215.0,0.151875,7450.0,0.93125,159.0,0.019875,29.59,93574.1,59.94,50543.0
2026-08-10T13:02:17,1174.0,0.14675,7273.0,0.909125,153.0,0.019125,29.62,93573.5,59.78,53759.0
2026-08-10T13:02:19,1149.0,0.143625,7138.0,0.89225,149.0,0.018625,29.66,93576.81,59.65,56500.0
2026-08-10T13:02:20,1133.0,0.141625,7080.0,0.885,146.0,0.01825,29.67,93575.58,59.56,58918.0
2026-08-10T13:02:44,1273.0,0.159125,7803.0,0.975375,168.0,0.021,29.47,93575.99,60.15,49061.0
2026-08-10T13:02:46,1271.0,0.158875,7450.0,0.93125,158.0,0.01975,29.54,93572.42,60.01,51990.0
2026-08-10T13:02:48,1227.0,0.153375,7283.0,0.910375,152.0,0.019,29.58,93573.72,59.86,54865.0
2026-08-10T13:02:50,1193.0,0.149125,7149.0,0.893625,148.0,0.0185,29.6,93576.38,59.72,57528.0
