hour,frames,reliable_fraction,fog_fraction,sustained_change
0,12,1.0,0.0,False
1,12,1.0,0.0,True
2,12,1.0,0.0,True
3,12,1.0,0.0,True
4,12,1.0,0.0,True
5,12,1.0,0.0,True
6,12,1.0,0.0,True
7,12,1.0,0.0,True
8,12,1.0,0.0,True
9,12,1.0,0.0,True
10,12,1.0,0.0,True
11,12,1.0,0.0,True
12,12,1.0,0.0,True
13,12,1.0,0.0,True
14,5,1.0,0.0,True
