timestamp_iso,elapsed_s,session_id,food_category,food_name,phase,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,image_filename
2026-07-11T15:55:28,0.0,S0001,unknown,unknown,Warmup,11805,1.476,24050,3.006,19795,2.474,26.48,93457.0,59.02,5600.0,none
2026-07-11T15:55:30,1.04,S0001,unknown,unknown,Warmup,11805,1.476,24049,3.006,19795,2.474,26.5,93457.0,58.87,5600.0,none
2026-07-11T15:55:32,3.04,S0001,unknown,unknown,Warmup,11804,1.476,24047,3.006,19795,2.474,26.52,93455.0,58.73,5600.0,none
2026-07-11T15:55:34,5.05,S0001,unknown,unknown,Warmup,11805,1.476,24047,3.006,19796,2.475,26.55,93455.0,58.6,5600.0,none
2026-07-11T15:55:36,7.05,S0001,unknown,unknown,Warmup,11806,1.476,24049,3.006,19795,2.474,26.57,93457.0,58.46,5600.0,none
2026-07-11T15:55:38,9.04,S0001,unknown,unknown,Warmup,11805,1.476,24049,3.006,19794,2.474,26.59,93457.0,58.37,5600.0,none
2026-07-11T15:55:40,11.04,S0001,unknown,unknown,Warmup,11807,1.476,24050,3.006,19795,2.474,26.61,93457.0,58.3,5900.0,none
2026-07-11T15:55:42,13.03,S0001,unknown,unknown,Warmup,11809,1.476,24051,3.006,19797,2.475,26.63,93457.0,58.22,6300.0,none
2026-07-11T15:55:44,15.03,S0001,unknown,unknown,Warmup,11806,1.476,24049,3.006,19795,2.474,26.64,93457.0,58.16,6900.0,none
2026-07-11T15:55:46,17.03,S0001,unknown,unknown,Warmup,11806,1.476,24049,3.006,19795,2.474,26.65,93455.0,58.12,7600.0,none
2026-07-11T15:55:48,19.05,S0001,unknown,unknown,Warmup,11806,1.476,24050,3.006,19796,2.475,26.66,93457.0,58.08,8100.0,none
2026-07-11T15:55:50,21.04,S0001,unknown,unknown,Warmup,11805,1.476,24049,3.006,19795,2.474,26.66,93457.0,58.04,8800.0,none
2026-07-11T15:55:52,23.04,S0001,unknown,unknown,Warmup,11805,1.476,24048,3.006,19794,2.474,26.67,93457.0,58.0,9400.0,none
2026-07-11T15:55:54,25.05,S0001,unknown,unknown,Warmup,11805,1.476,24047,3.006,19793,2.474,26.67,93457.0,58.0,10000.0,capture_failed
2026-07-11T15:55:56,27.03,S0001,unknown,unknown,Warmup,11806,1.476,24050,3.006,19794,2.474,26.67,93455.0,57.97,10600.0,none
2026-07-11T15:55:58,29.04,S0001,unknown,unknown,Warmup,11806,1.476,24051,3.006,19796,2.475,26.67,93455.0,57.96,11300.0,none
2026-07-11T15:56:00,31.04,S0001,unknown,unknown,Warmup,11806,1.476,24050,3.006,19795,2.474,26.67,93455.0,57.98,12100.0,none
2026-07-11T15:56:02,33.03,S0001,unknown,unknown,Warmup,11805,1.476,24050,3.006,19794,2.474,26.67,93453.0,57.98,12700.0,none
2026-07-11T15:56:04,35.04,S0001,unknown,unknown,Warmup,11806,1.476,24050,3.006,19796,2.475,26.67,93453.0,58.0,13400.0,none
2026-07-11T15:56:06,37.03,S0001,unknown,unknown,Warmup,11809,1.476,24049,3.006,19795,2.474,26.68,93455.0,57.98,14000.0,none
2026-07-11T15:56:08,39.03,S0001,unknown,unknown,Warmup,11807,1.476,24051,3.006,19794,2.474,26.68,93453.0,57.99,14600.0,none
2026-07-11T15:56:10,41.03,S0001,unknown,unknown,Warmup,11807,1.476,24051,3.006,19796,2.475,26.68,93453.0,57.98,15200.0,none
2026-07-11T15:56:12,43.03,S0001,unknown,unknown,Warmup,11809,1.476,24052,3.007,19796,2.475,26.68,93455.0,57.98,15800.0,none
2026-07-11T15:56:14,45.05,S0001,unknown,unknown,Warmup,11807,1.476,24052,3.007,19796,2.475,26.69,93453.0,57.97,16400.0,none
2026-07-11T15:56:16,47.04,S0001,unknown,unknown,Warmup,11807,1.476,24049,3.006,19796,2.475,26.69,93453.0,57.97,17000.0,none
2026-07-11T15:56:18,49.03,S0001,unknown,unknown,Warmup,11808,1.476,24049,3.006,19794,2.474,26.69,93453.0,57.97,17400.0,none
2026-07-11T15:56:20,51.04,S0001,unknown,unknown,Warmup,11806,1.476,24047,3.006,19793,2.474,26.69,93457.0,57.94,18100.0,none
2026-07-11T15:56:22,53.04,S0001,unknown,unknown,Warmup,11806,1.476,24050,3.006,19793,2.474,26.69,93457.0,57.95,18700.0,none
2026-07-11T15:56:24,55.04,S0001,unknown,unknown,Warmup,11807,1.476,24050,3.006,19795,2.474,26.69,93457.0,57.95,19100.0,capture_failed
2026-07-11T15:56:26,57.03,S0001,unknown,unknown,Warmup,11808,1.476,24051,3.006,19794,2.474,26.69,93457.0,57.97,19700.0,none
2026-07-11T15:56:28,59.03,S0001,unknown,unknown,Warmup,11810,1.476,24053,3.007,19797,2.475,26.7,93457.0,58.01,20100.0,none
2026-07-11T15:56:30,61.04,S0001,unknown,unknown,Warmup,11808,1.476,24051,3.006,19795,2.474,26.7,93455.0,58.04,20700.0,none
