hour,frames,reliable_fraction,fog_fraction,sustained_change
0,13,1.0,0.0,True
1,12,1.0,0.0,True
2,12,1.0,0.0,True
3,12,1.0,0.0,True
4,12,1.0,0.0,True
5,12,1.0,0.0,True
6,12,1.0,0.0,True
7,12,0.6666666666666666,0.3333333333333333,True
8,12,0.4166666666666667,0.5833333333333334,False
9,12,0.75,0.25,True
10,8,0.125,0.875,False
