timestamp_iso,elapsed_s,session_id,food_category,food_name,phase,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,image_filename
2026-06-27T11:16:29,0.0,S0001,unknown,unknown,Warmup,11925,1.491,24150,3.019,19866,2.483,29.74,93737.0,68.55,45200.0,none
2026-06-27T11:16:31,2.46,S0001,unknown,unknown,Warmup,11927,1.491,24152,3.019,19865,2.483,29.74,93737.0,68.52,50100.0,none
2026-06-27T11:16:33,4.49,S0001,unknown,unknown,Warmup,11927,1.491,24152,3.019,19865,2.483,29.75,93737.0,68.59,52900.0,none
2026-06-27T11:16:35,6.52,S0001,unknown,unknown,Warmup,11928,1.491,24152,3.019,19865,2.483,29.77,93737.0,68.37,55100.0,none
2026-06-27T11:16:37,8.55,S0001,unknown,unknown,Warmup,11928,1.491,24150,3.019,19866,2.483,29.78,93737.0,68.18,56800.0,none
2026-06-27T11:16:39,10.58,S0001,unknown,unknown,Warmup,11927,1.491,24150,3.019,19864,2.483,29.8,93735.0,67.94,58300.0,none
2026-06-27T11:16:41,12.61,S0001,unknown,unknown,Warmup,11928,1.491,24152,3.019,19866,2.483,29.81,93735.0,67.2,59900.0,none
2026-06-27T11:16:43,14.65,S0001,unknown,unknown,Warmup,11928,1.491,24154,3.019,19866,2.483,29.82,93735.0,66.39,61000.0,none
2026-06-27T11:16:45,16.67,S0001,unknown,unknown,Warmup,11928,1.491,24151,3.019,19865,2.483,29.82,93735.0,65.79,62400.0,none
2026-06-27T11:16:47,18.69,S0001,unknown,unknown,Warmup,11926,1.491,24150,3.019,19864,2.483,29.83,93735.0,65.38,63300.0,none
2026-06-27T11:16:49,20.72,S0001,unknown,unknown,Warmup,11928,1.491,24151,3.019,19865,2.483,29.83,93735.0,65.1,64000.0,none
2026-06-27T11:16:51,22.77,S0001,unknown,unknown,Warmup,11928,1.491,24152,3.019,19865,2.483,29.83,93735.0,64.84,64400.0,none
2026-06-27T11:16:53,24.79,S0001,unknown,unknown,Warmup,11926,1.491,24151,3.019,19864,2.483,29.83,93735.0,64.72,65300.0,none
2026-06-27T11:16:56,26.81,S0001,unknown,unknown,Warmup,11927,1.491,24150,3.019,19864,2.483,29.82,93735.0,64.6,65700.0,none
2026-06-27T11:16:58,28.85,S0001,unknown,unknown,Warmup,11929,1.491,24150,3.019,19863,2.483,29.82,93733.0,64.52,66000.0,none
2026-06-27T11:17:00,30.88,S0001,unknown,unknown,Warmup,11927,1.491,24149,3.019,19863,2.483,29.81,93733.0,64.5,67100.0,none
2026-06-27T11:17:02,32.92,S0001,unknown,unknown,Warmup,11929,1.491,24150,3.019,19865,2.483,29.81,93733.0,64.45,67300.0,none
2026-06-27T11:17:04,34.95,S0001,unknown,unknown,Warmup,11927,1.491,24148,3.019,19864,2.483,29.8,93735.0,64.41,67500.0,none
2026-06-27T11:17:06,36.98,S0001,unknown,unknown,Warmup,11928,1.491,24150,3.019,19865,2.483,29.8,93733.0,64.4,67500.0,none
2026-06-27T11:17:08,39.01,S0001,unknown,unknown,Warmup,11928,1.491,24150,3.019,19864,2.483,29.79,93733.0,64.35,68100.0,none
2026-06-27T11:17:10,41.03,S0001,unknown,unknown,Warmup,11930,1.491,24151,3.019,19864,2.483,29.78,93735.0,64.35,68700.0,none
2026-06-27T11:17:12,43.07,S0001,unknown,unknown,Warmup,11928,1.491,24150,3.019,19864,2.483,29.78,93733.0,64.35,68700.0,none
2026-06-27T11:17:14,45.1,S0001,unknown,unknown,Warmup,11929,1.491,24152,3.019,19866,2.483,29.77,93735.0,64.38,69100.0,none
2026-06-27T11:17:16,47.12,S0001,unknown,unknown,Warmup,11930,1.491,24153,3.019,19865,2.483,29.76,93733.0,64.4,69300.0,none
2026-06-27T11:17:18,49.15,S0001,unknown,unknown,Warmup,11928,1.491,24150,3.019,19863,2.483,29.75,93735.0,64.37,69600.0,none
2026-06-27T11:17:20,51.2,S0001,unknown,unknown,Warmup,11929,1.491,24150,3.019,19863,2.483,29.75,93735.0,64.4,69600.0,none
2026-06-27T11:17:22,53.23,S0001,unknown,unknown,Warmup,11929,1.491,24153,3.019,19866,2.483,29.74,93733.0,64.41,70300.0,none
2026-06-27T11:17:24,55.25,S0001,unknown,unknown,Warmup,11929,1.491,24151,3.019,19866,2.483,29.73,93735.0,64.43,70000.0,none
2026-06-27T11:17:26,57.28,S0001,unknown,unknown,Warmup,11930,1.491,24151,3.019,19865,2.483,29.73,93735.0,64.42,70100.0,none
2026-06-27T11:17:28,59.31,S0001,unknown,unknown,Warmup,11929,1.491,24149,3.019,19863,2.483,29.72,93735.0,64.45,70300.0,none
2026-06-27T11:17:30,61.35,S0001,unknown,unknown,Warmup,11928,1.491,24150,3.019,19863,2.483,29.71,93731.0,64.43,70600.0,none
2026-06-27T11:17:32,63.38,S0001,unknown,unknown,Warmup,11931,1.491,24151,3.019,19865,2.483,29.71,93733.0,64.4,70400.0,none
2026-06-27T11:17:34,65.41,S0001,unknown,unknown,Warmup,11930,1.491,24151,3.019,19866,2.483,29.7,93733.0,64.46,71100.0,none
2026-06-27T11:17:36,67.45,S0001,unknown,unknown,Warmup,11929,1.491,24150,3.019,19864,2.483,29.69,93731.0,64.45,71300.0,none
2026-06-27T11:17:38,69.48,S0001,unknown,unknown,Warmup,11927,1.491,24150,3.019,19862,2.483,29.69,93733.0,64.45,71600.0,none
2026-06-27T11:17:40,71.52,S0001,unknown,unknown,Warmup,11929,1.491,24151,3.019,19864,2.483,29.68,93733.0,64.44,71400.0,none
2026-06-27T11:17:42,73.54,S0001,unknown,unknown,Warmup,11928,1.491,24149,3.019,19860,2.483,29.68,93731.0,64.49,71500.0,none
