session_time_h,change_index,run
0.0,0.0,S010 excluded pilot
0.0833333333333333,0.0,S010 excluded pilot
0.1666666666666666,0.1332627392216353,S010 excluded pilot
0.25,1.0556363682801997,S010 excluded pilot
0.3333333333333333,1.0844442092464766,S010 excluded pilot
0.4166666666666667,1.1167401675451427,S010 excluded pilot
0.5,1.3977576955150943,S010 excluded pilot
0.5833333333333334,1.8075302872668824,S010 excluded pilot
0.6666666666666666,1.870202872153772,S010 excluded pilot
0.75,2.513803847023617,S010 excluded pilot
0.8333333333333334,2.667636804589416,S010 excluded pilot
0.9166666666666666,3.269513246534038,S010 excluded pilot
1.0,3.495080313594846,S010 excluded pilot
1.0833333333333333,3.8181004379421015,S010 excluded pilot
1.1666666666666667,3.93328069852998,S010 excluded pilot
1.25,3.929935571469878,S010 excluded pilot
1.3333333333333333,4.05068226865069,S010 excluded pilot
1.4166666666666667,4.2679691028081335,S010 excluded pilot
1.5,3.905139872148803,S010 excluded pilot
1.5833333333333333,3.8213093983356297,S010 excluded pilot
1.6666666666666667,3.5543217991155505,S010 excluded pilot
1.75,3.594294656033818,S010 excluded pilot
1.8333333333333333,3.725578975149477,S010 excluded pilot
1.9166666666666667,4.155240456988,S010 excluded pilot
2.0,3.834574445227288,S010 excluded pilot
2.083333333333333,3.082125040123375,S010 excluded pilot
2.1666666666666665,3.2144876977103345,S010 excluded pilot
2.25,3.557252578404553,S010 excluded pilot
2.333333333333333,3.411022205335964,S010 excluded pilot
2.4166666666666665,3.36120613555006,S010 excluded pilot
2.5,3.2756317725368738,S010 excluded pilot
2.583333333333333,3.846296693930356,S010 excluded pilot
2.6666666666666665,3.852086017906583,S010 excluded pilot
2.75,4.078905496787078,S010 excluded pilot
2.833333333333333,4.071976636543652,S010 excluded pilot
2.9166666666666665,4.388624449434729,S010 excluded pilot
3.0,4.564693338623584,S010 excluded pilot
3.083333333333333,4.4383451405035705,S010 excluded pilot
3.1666666666666665,4.402152024128236,S010 excluded pilot
3.25,4.188141219300265,S010 excluded pilot
3.333333333333333,4.010200590072432,S010 excluded pilot
3.4166666666666665,5.62330296898898,S010 excluded pilot
3.5,9.190921948578312,S010 excluded pilot
3.583333333333333,10.73377376713956,S010 excluded pilot
3.6666666666666665,12.470679258384497,S010 excluded pilot
3.75,14.00731323054473,S010 excluded pilot
3.8333333333333335,15.250656380448934,S010 excluded pilot
3.9166666666666665,17.178639121162437,S010 excluded pilot
4.0,19.15963109195833,S010 excluded pilot
4.083333333333333,21.420236645696093,S010 excluded pilot
4.166666666666667,24.043586760647727,S010 excluded pilot
4.25,26.57044809547491,S010 excluded pilot
4.333333333333333,29.359741659148455,S010 excluded pilot
4.416666666666667,33.31929757915961,S010 excluded pilot
4.5,37.45063695641468,S010 excluded pilot
4.583333333333333,42.17808694391807,S010 excluded pilot
4.666666666666667,47.68432759374326,S010 excluded pilot
4.75,52.21766468912321,S010 excluded pilot
4.833333333333333,54.71173641901936,S010 excluded pilot
4.916666666666667,56.232221005941,S010 excluded pilot
5.0,58.54361097444845,S010 excluded pilot
5.083333333333333,61.57158518107616,S010 excluded pilot
5.166666666666667,63.50791491920618,S010 excluded pilot
5.25,66.26179080580651,S010 excluded pilot
5.333333333333333,70.56511762529063,S010 excluded pilot
5.416666666666667,74.26846892544978,S010 excluded pilot
5.5,76.07372619815364,S010 excluded pilot
5.583333333333333,76.6537936378993,S010 excluded pilot
5.666666666666667,76.98412577108222,S010 excluded pilot
5.75,78.3423129547054,S010 excluded pilot
5.833333333333333,79.23254913209135,S010 excluded pilot
5.916666666666667,79.95523308067327,S010 excluded pilot
6.0,80.44812006035728,S010 excluded pilot
6.083333333333333,80.79265839091218,S010 excluded pilot
6.166666666666667,81.18102547898694,S010 excluded pilot
6.25,81.3783367743024,S010 excluded pilot
6.333333333333333,81.53319717368582,S010 excluded pilot
6.416666666666667,81.74948401812831,S010 excluded pilot
6.5,81.87896728234062,S010 excluded pilot
6.583333333333333,81.83217090869688,S010 excluded pilot
6.666666666666667,81.82416595435824,S010 excluded pilot
6.75,81.83885996249585,S010 excluded pilot
6.833333333333333,81.50614056037884,S010 excluded pilot
6.916666666666667,81.92034831643196,S010 excluded pilot
7.0,81.48077283236145,S010 excluded pilot
7.083333333333333,82.28953109863684,S010 excluded pilot
