timestamp,elapsed_s,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,session_id,site_id,pcb_design_id,device_id,container_id,food_category,food_name,phase,image_filename,v_NH3_delta_pct,v_H2S_delta_pct,v_CH4_delta_pct,bme_delta_log_inverted,v_NH3_slope_5m,v_NH3_accel_5m,v_NH3_volatility_5m,v_NH3_slope_15m,v_NH3_accel_15m,v_NH3_volatility_15m,v_NH3_slope_30m,v_NH3_accel_30m,v_NH3_volatility_30m,v_H2S_slope_5m,v_H2S_accel_5m,v_H2S_volatility_5m,v_H2S_slope_15m,v_H2S_accel_15m,v_H2S_volatility_15m,v_H2S_slope_30m,v_H2S_accel_30m,v_H2S_volatility_30m,v_CH4_slope_5m,v_CH4_accel_5m,v_CH4_volatility_5m,v_CH4_slope_15m,v_CH4_accel_15m,v_CH4_volatility_15m,v_CH4_slope_30m,v_CH4_accel_30m,v_CH4_volatility_30m,bme_delta_log_inverted_slope_5m,bme_delta_log_inverted_accel_5m,bme_delta_log_inverted_volatility_5m,bme_delta_log_inverted_slope_15m,bme_delta_log_inverted_accel_15m,bme_delta_log_inverted_volatility_15m,bme_delta_log_inverted_slope_30m,bme_delta_log_inverted_accel_30m,bme_delta_log_inverted_volatility_30m,q10_factor,biological_age_h,is_baseline
2026-08-04 18:57:00,2019.39,1345.0,0.168,9115.0,1.139,159.0,0.02,30.13,93598.0,70.12,89500.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,img_000002_20260804_185708.jpg,-0.003634972259421776,-2.220446049250313e-16,-0.0019362589216307402,0.09496607827459341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.117745111531071,0.0,True
2026-08-04 18:58:00,2074.385,1343.5,0.168,8941.5,1.1175000000000002,159.0,0.02,30.09,93602.0,71.02000000000001,89500.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.02077591689633196,0.09496607827459341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.100806613025136,0.0933276739016625,True
2026-08-04 18:59:00,2134.4,1343.0,0.168,8732.5,1.0915,159.0,0.02,30.04,93604.0,71.33,90150.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.04355875909829676,0.08772975390607683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.079699425606063,0.19485726694450275,True
2026-08-04 19:00:00,2194.88,1341.5,0.168,8614.0,1.077,159.0,0.02,30.02,93606.0,71.48,91300.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.05626457494170001,0.07505391595448031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.071277011896216,0.29692546901952194,True
2026-08-04 19:01:00,2254.385,1341.0,0.168,8545.5,1.068,159.0,0.02,30.01,93610.0,71.56,92100.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.06415094339622607,0.066329760294142,8.710847716137192e-17,,0.0,8.710847716137192e-17,,0.0,8.710847716137192e-17,,0.0,1.3351356114878266e-16,,0.0,1.3351356114878266e-16,,0.0,1.3351356114878266e-16,,0.0,-1.110487989894079,,0.029337262994355778,-1.110487989894079,,0.029337262994355778,-1.110487989894079,,0.029337262994355778,-0.47269218978663247,,0.01271326492008384,-0.47269218978663247,,0.01271326492008384,-0.47269218978663247,,0.01271326492008384,6.067070181497768,0.3972438509282595,True
2026-08-04 19:02:00,2314.5,1340.0,0.168,8518.0,1.065,158.0,0.02,30.01,93611.0,71.62,94250.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.06677973288106831,0.043253877227283084,-4.2030483666982755e-16,,0.0,-4.2030483666982755e-16,,0.0,-4.2030483666982755e-16,,0.0,-1.4597183873900042e-17,,0.0,-1.4597183873900042e-17,,0.0,-1.4597183873900042e-17,,0.0,-0.9219498832650882,,0.021472657031676317,-0.9219498832650882,,0.029609120216581884,-0.9219498832650882,,0.029609120216581884,-0.6213830763552144,,0.02019856304088183,-0.6213830763552144,,0.02008539106049754,-0.6213830763552144,,0.02008539106049754,6.067070181497768,0.49855549647290864,True
2026-08-04 19:03:00,2374.975,1342.0,0.168,8533.0,1.067,158.0,0.02,30.02,93613.0,71.65,95250.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.06502720655784022,0.03269968954859272,9.76241955624181e-16,,0.0,6.295694374545713e-16,,0.0,6.295694374545713e-16,,0.0,5.336856454980514e-17,,0.0,-1.3196562484388209e-17,,0.0,-1.3196562484388209e-17,,0.0,-0.36536437175444286,,0.010963576058932533,-0.7414666918873523,,0.028760298362582405,-0.7414666918873523,,0.028760298362582405,-0.8501113636260453,,0.0226728372161529,-0.6745871292077992,,0.024843057555231068,-0.6745871292077992,,0.024843057555231068,6.071277011896216,0.6005091834896448,True
2026-08-04 19:04:00,2434.48,1343.5,0.168,8606.0,1.076,158.0,0.02,30.03,93617.0,71.69,96050.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.05714083810331394,0.024335814340837522,-1.1520754596544221e-15,,0.0,5.763047008043131e-16,,0.0,5.763047008043131e-16,,0.0,-6.06450950270902e-17,,0.0,7.50050674965089e-17,,0.0,7.50050674965089e-17,,0.0,-0.017921105402354965,,0.005504543577809215,-0.5598987605713085,,0.0270380023564717,-0.5598987605713085,,0.0270380023564717,-0.8108452014182155,,0.021702266707176607,-0.6824316634350406,,0.028246738163546836,-0.6824316634350406,,0.028246738163546836,6.07548675925812,0.7008971249066642,True
2026-08-04 19:05:00,2494.4700000000003,1343.5,0.168,8744.5,1.093,158.0,0.02,30.04,93617.0,71.66,96750.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.04224436435587564,0.017074371645512034,1.1044728814298333e-15,7.854442420795689e-15,0.0,-6.024815915910091e-16,-2.2663940746074054e-15,0.0,-6.024815915910091e-16,-2.2663940746074054e-15,0.0,5.966507598906916e-17,-1.1620013517183867e-15,0.0,-2.2979225162060552e-17,-1.3428416039662598e-15,0.0,-2.2979225162060552e-17,-1.3428416039662598e-15,0.0,0.18180333478944893,20.92983174282082,0.01151954860226727,-0.3694080530468542,11.062405762325755,0.02535511673103563,-0.3694080530468542,11.062405762325755,0.02535511673103563,-0.7316005591235916,-4.251032294614744,0.01920227441846653,-0.6695072502071119,-2.730576017384281,0.030862050951268483,-0.6695072502071119,-2.730576017384281,0.030862050951268483,6.079699425606063,0.8021734609108316,True
2026-08-04 19:06:00,2554.4849999999997,1345.0,0.168,8895.0,1.112,158.0,0.02,30.05,93621.0,71.705,97300.0,S012_Anish_chicken3,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.003634972259421776,-2.220446049250313e-16,-0.025595364285209143,0.011405714363443873,-2.382530962007946e-16,3.0028503176723553e-15,0.0,2.0839216053920684e-16,2.6723344636465687e-17,0.0,2.0839216053920684e-16,2.6723344636465687e-17,0.0,-3.8289166947562166e-17,-2.4442047994166176e-16,0.0,-1.9837970767316958e-17,-1.2080923607476587e-15,0.0,-1.9837970767316958e-17,-1.2080923607476587e-15,0.0,0.7204778790486396,23.017422517755723,0.019806564568344273,-0.1898732172771058,11.044286824745052,0.025059706480501504,-0.1898732172771058,11.044286824745052,0.025059706480501504,-0.47639655229972605,2.448027162443814,0.012626448489804138,-0.6448552273063213,-1.7389056747371554,0.03284684964652769,-0.6448552273063213,-1.7389056747371554,0.03284684964652769,6.083915012964037,0.9035622554289952,True
