Saved Sample Number,Date,Timestamp,Elapsed Time (seconds),Elapsed Time (minutes),Gas Sensor 1 Raw,Gas Sensor 1 Voltage (V),Gas Sensor 2 Raw,Gas Sensor 2 Voltage (V),Gas Sensor 3 Raw,Gas Sensor 3 Voltage (V),Temperature (C),Humidity (%),Pressure (hPa),BME680 Gas Resistance (kOhms)
1,2026-08-05,2026-08-05 12:26:32 AM,30.037,0.5006,4448,0.556,6865,0.8581,8527,1.0659,24.49,49.26,998.75,56.8
2,2026-08-05,2026-08-05 12:27:02 AM,60.013,1.0002,4423,0.5529,6762,0.8453,8540,1.0675,24.71,48.62,998.74,81.24
3,2026-08-05,2026-08-05 12:27:32 AM,90.007,1.5001,4400,0.55,6654,0.8318,8551,1.0689,24.85,48.34,998.75,96.35
4,2026-08-05,2026-08-05 12:28:02 AM,120.014,2.0002,4387,0.5484,6549,0.8186,8561,1.0701,24.97,48.17,998.77,107.11
5,2026-08-05,2026-08-05 12:28:32 AM,150.009,2.5002,4375,0.5469,6465,0.8081,8578,1.0723,25.05,48.09,998.79,116.23
6,2026-08-05,2026-08-05 12:29:02 AM,180.021,3.0004,4360,0.545,6374,0.7968,8587,1.0734,25.12,48.05,998.77,124.27
7,2026-08-05,2026-08-05 12:29:32 AM,210.012,3.5002,4353,0.5441,6291,0.7864,8598,1.0748,25.18,48.05,998.76,131.45
8,2026-08-05,2026-08-05 12:30:02 AM,240.006,4.0001,4352,0.544,6202,0.7753,8604,1.0755,25.23,48.05,998.77,138.6
9,2026-08-05,2026-08-05 12:30:32 AM,270.016,4.5003,4349,0.5436,6127,0.7659,8620,1.0775,25.28,48.09,998.76,142.54
10,2026-08-05,2026-08-05 12:31:02 AM,300.003,5.0001,4348,0.5435,6061,0.7576,8636,1.0795,25.33,48.12,998.75,148.49
11,2026-08-05,2026-08-05 12:31:32 AM,330.005,5.5001,4348,0.5435,5989,0.7486,8651,1.0814,25.38,48.17,998.76,153.15
12,2026-08-05,2026-08-05 12:32:02 AM,360.018,6.0003,4348,0.5435,5929,0.7411,8663,1.0829,25.42,48.22,998.76,157.39
13,2026-08-05,2026-08-05 12:32:32 AM,390.009,6.5002,4356,0.5445,5860,0.7325,8672,1.084,25.46,48.27,998.76,159.75
14,2026-08-05,2026-08-05 12:33:02 AM,420.006,7.0001,4358,0.5448,5807,0.7259,8691,1.0864,25.5,48.33,998.78,162.49
15,2026-08-05,2026-08-05 12:33:32 AM,450.017,7.5003,4350,0.5438,5745,0.7181,8709,1.0886,25.55,48.41,998.79,165.96
