timestamp,elapsed_s,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,session_id,site_id,pcb_design_id,device_id,container_id,food_category,food_name,phase,image_filename,v_NH3_delta_pct,v_H2S_delta_pct,v_CH4_delta_pct,bme_delta_log_inverted,v_NH3_slope_5m,v_NH3_accel_5m,v_NH3_volatility_5m,v_NH3_slope_15m,v_NH3_accel_15m,v_NH3_volatility_15m,v_NH3_slope_30m,v_NH3_accel_30m,v_NH3_volatility_30m,v_H2S_slope_5m,v_H2S_accel_5m,v_H2S_volatility_5m,v_H2S_slope_15m,v_H2S_accel_15m,v_H2S_volatility_15m,v_H2S_slope_30m,v_H2S_accel_30m,v_H2S_volatility_30m,v_CH4_slope_5m,v_CH4_accel_5m,v_CH4_volatility_5m,v_CH4_slope_15m,v_CH4_accel_15m,v_CH4_volatility_15m,v_CH4_slope_30m,v_CH4_accel_30m,v_CH4_volatility_30m,bme_delta_log_inverted_slope_5m,bme_delta_log_inverted_accel_5m,bme_delta_log_inverted_volatility_5m,bme_delta_log_inverted_slope_15m,bme_delta_log_inverted_accel_15m,bme_delta_log_inverted_volatility_15m,bme_delta_log_inverted_slope_30m,bme_delta_log_inverted_accel_30m,bme_delta_log_inverted_volatility_30m,q10_factor,biological_age_h,is_baseline
2026-07-28 20:09:00,1812.01,1463.0,0.183,8786.0,1.098,443.0,0.055,30.83,93384.0,65.245,207300.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,img_000002_20260728_200940.jpg,-0.02842952560369927,-0.03835307388606901,-0.03039453069363318,-0.11171226526558078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.421899109727627,0.0,True
2026-07-28 20:10:00,1852.02,1479.5,0.185,8806.0,1.101,444.0,0.056,30.83,93390.0,65.455,205200.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.017811269052920076,-0.020868584320361205,-0.027745335422304507,-0.10153035912046139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.421899109727627,0.0713722731611673,True
2026-07-28 20:11:00,1912.0149999999999,1484.5,0.186,8836.5,1.105,446.0,0.056,30.83,93390.0,65.57499999999999,202100.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.012502140777530424,-0.020868584320361205,-0.024213075060532607,-0.08630787023342225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.421899109727627,0.17839500568564182,True
2026-07-28 20:12:00,1972.02,1495.0,0.187,8866.5,1.108,447.0,0.056,30.83,93388.0,65.74,200000.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.007193012502140772,-0.020868584320361205,-0.02156387978920371,-0.0758626123718836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.421899109727627,0.28543557681875487,True
2026-07-28 20:13:00,2032.01,1498.5,0.187,8902.0,1.113,448.0,0.056,30.83,93392.0,65.86,198600.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.007193012502140772,-0.020868584320361205,-0.01714855433698892,-0.06883799743491907,0.06259037156774293,,0.0016733200530681515,0.06259037156774293,,0.0016733200530681515,0.06259037156774293,,0.0016733200530681515,0.011878818990352527,,0.00044721359549995774,0.011878818990352527,,0.00044721359549995774,0.011878818990352527,,0.00044721359549995774,0.23756381627559747,,0.0058736700622354105,0.23756381627559747,,0.0058736700622354105,0.23756381627559747,,0.0058736700622354105,0.7112959652430297,,0.017741826203012307,0.7112959652430297,,0.017741826203012307,0.7112959652430297,,0.017741826203012307,6.421899109727627,0.39244939003891055,True
2026-07-28 20:14:00,2092.01,1493.5,0.187,8926.0,1.116,450.0,0.056,30.82,93390.0,66.05,196950.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.007193012502140772,-0.020868584320361205,-0.014499359065660022,-0.06049513524076175,0.047303962224785674,,0.0008944271909999339,0.047303962224785674,,0.0016020819787597243,0.047303962224785674,,0.0016020819787597243,0.008372598022993907,,0.0,0.008372598022993907,,0.0004082482904638629,0.008372598022993907,,0.0004082482904638629,0.23191021201739503,,0.006024948132556963,0.23191021201739503,,0.006911343333004629,0.23191021201739503,,0.006911343333004629,0.6521869784284062,,0.015935718646598058,0.6521869784284062,,0.019642294450124498,0.6521869784284062,,0.019642294450124498,6.41744933081989,0.49944396037680694,True
2026-07-28 20:15:00,2152.0,1497.0,0.187,8965.5,1.121,450.0,0.056,30.81,93390.0,66.18,195600.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.007193012502140772,-0.020868584320361205,-0.010084033613445342,-0.053617003424563846,0.02228736744203593,,0.0004472135955000157,0.03679055614751617,,0.0015275252316519492,0.03679055614751617,,0.0015275252316519492,3.6124045860163917e-16,,0.0,0.006241402197122759,,0.00037796447300922733,0.006241402197122759,,0.00037796447300922733,0.23658502094665831,,0.006348228099241645,0.2377089146744183,,0.008275034167675164,0.2377089146744183,,0.008275034167675164,0.5555138603670968,,0.012802836246836041,0.6051408893487684,,0.021318384803506327,0.6051408893487684,,0.021318384803506327,6.41300263519515,0.6063465733547568,True
2026-07-28 20:16:00,2211.995,1496.0,0.187,9056.5,1.132,451.0,0.056,30.81,93392.0,66.34,194200.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,-0.007193012502140772,-0.020868584320361205,-0.0003703176185728685,-0.04643380168107142,0.008572353823526625,,0.0,0.02936301217896336,,0.0014577379737113281,0.02936301217896336,,0.0014577379737113281,7.523299012751597e-16,,0.0,0.004841542512217085,,0.0003535533905932739,0.004841542512217085,,0.0003535533905932739,0.3034504284542589,,0.009137833441248506,0.276770864727276,,0.011209052464096073,0.276770864727276,,0.011209052464096073,0.4705226025784727,,0.011718115817351344,0.5710791751842128,,0.02298759776404138,0.5710791751842128,,0.02298759776404138,6.41300263519515,0.7132210436599047,True
2026-07-28 20:17:00,2272.01,1508.5,0.189,9210.0,1.151,452.0,0.057,30.79,93394.0,66.43,192700.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,0.0034252440486384206,-0.0033840947546533995,0.016407919099843404,-0.038679821244167654,0.017144857237412874,-0.7777309010378683,0.0008944271909999811,0.032233014392107594,-0.4719342750906156,0.0016666666666666711,0.032233014392107594,-0.4719342750906156,0.0016666666666666711,0.008572428618706262,-0.08990235529320503,0.00044721359549995774,0.0080099929070665,-0.06760945770002069,0.0005000000000000003,0.0080099929070665,-0.06760945770002069,0.0005000000000000003,0.4748899146419421,3.2773687682806676,0.015436968614336147,0.3541322826077672,1.6680850850658226,0.016766368453279158,0.3541322826077672,1.6680850850658226,0.016766368453279158,0.44574482754089023,-4.276657382282339,0.011765469225035007,0.5482465772269698,-2.443279410914059,0.02477556104071422,0.5482465772269698,-2.443279410914059,0.02477556104071422,6.4041184852504225,0.8200570886659526,True
2026-07-28 20:18:00,2332.495,1513.0,0.189,9304.5,1.163,453.0,0.057,30.79,93396.0,66.57,187200.0,S010_Anish_chickenreal1,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Baseline,none,0.0034252440486384206,-0.0033840947546533995,0.027004700185158992,-0.009722809867338617,0.035942594602420004,-0.16614727364505916,0.0010954451150104042,0.03184561670742458,-0.3531676402394361,0.0017669811040931468,0.03184561670742458,-0.3531676402394361,0.0017669811040931468,0.017971297301211008,0.16662414090763347,0.0005477225575051667,0.009143351242180109,-0.02761445693662354,0.0005676462121975469,0.009143351242180109,-0.02761445693662354,0.0005676462121975469,0.7428721967906272,7.553689478762081,0.019957454747537268,0.4132614288487669,2.19984402719869,0.0216733323080079,0.4132614288487669,2.19984402719869,0.0216733323080079,0.6981805651844623,-0.09972815159168832,0.019680592489317344,0.6033432399360941,-1.5150400381638414,0.03045054400741318,0.6033432399360941,-1.5150400381638414,0.03045054400741318,6.4041184852504225,0.9276551738271664,True
