elapsed_s,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,v_NH3_delta_pct,v_H2S_delta_pct,v_CH4_delta_pct,bme_delta_log_inverted,v_NH3_slope_5m,v_NH3_accel_5m,v_NH3_volatility_5m,v_NH3_slope_15m,v_NH3_accel_15m,v_NH3_volatility_15m,v_NH3_slope_30m,v_NH3_accel_30m,v_NH3_volatility_30m,v_H2S_slope_5m,v_H2S_accel_5m,v_H2S_volatility_5m,v_H2S_slope_15m,v_H2S_accel_15m,v_H2S_volatility_15m,v_H2S_slope_30m,v_H2S_accel_30m,v_H2S_volatility_30m,v_CH4_slope_5m,v_CH4_accel_5m,v_CH4_volatility_5m,v_CH4_slope_15m,v_CH4_accel_15m,v_CH4_volatility_15m,v_CH4_slope_30m,v_CH4_accel_30m,v_CH4_volatility_30m,bme_delta_log_inverted_slope_5m,bme_delta_log_inverted_accel_5m,bme_delta_log_inverted_volatility_5m,bme_delta_log_inverted_slope_15m,bme_delta_log_inverted_accel_15m,bme_delta_log_inverted_volatility_15m,bme_delta_log_inverted_slope_30m,bme_delta_log_inverted_accel_30m,bme_delta_log_inverted_volatility_30m,q10_factor,biological_age_h,session_minute,time_bin,session_id,session_time_h,residual_NH3,residual_H2S,residual_CH4,residual_BME,z_NH3,z_H2S,z_CH4,z_BME
21410.715,1331.0,0.166,9290.0,1.161,543.0,0.068,30.47,93488.0,59.99,260800.0,0.0001943634596694,0.1159343568025412,-0.0439621739361418,-0.1693055062606127,-0.0068571809459399,-0.0705246898124711,0.0,-0.0010147486114692,-0.0076885010029459,0.0004551294949167,0.0006895232546108,0.0028143181329161,0.0003850660489692,-1.2608133640040242e-16,-3.669403795633478e-15,0.0,4.1221122149957465e-17,2.80608964139809e-16,0.0,-5.093852902537544e-18,-7.817622704826409e-18,0.0,0.0137147483032113,5.92924040628246e-06,0.0004472135952952,0.0282358274277053,-0.1189651883498413,0.0021536237457223,0.0473716943214311,0.1381853515708892,0.0072134134314689,0.0023278704335965,-0.0787481240939822,0.0019137069251597,0.0030152545063539,-0.0051644056316428,0.002308861851302,0.0025809621343947,0.0221982105426902,0.0022104159923941,6.263634370052341,33.792427526075215,315,63,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.25,-0.03634949006914937,0.15699303221783717,-0.08839234350086803,-0.057954778697715675,-1.225985009875845,2.3965806348677257,-1.1211749646399527,-1.0462052519785434
21710.71,1331.0,0.1665,9289.0,1.161,543.0,0.068,30.46,93486.0,60.0,261300.0,0.003206997084548,0.1159343568025412,-0.0439621739361418,-0.1712208487346815,0.0051428340117931,0.2027814366329289,0.0005000000000012,-0.0007941545316584,-0.0170934621671726,0.0004879500364745,0.0004475832945515,0.0065283257358144,0.000429179918331,-2.7838307028819933e-16,-3.043854493239351e-15,0.0,5.4033046666898704e-18,-2.14813420566871e-16,0.0,3.504041291391822e-17,6.65737769379422e-17,0.0,-5.755458771955022e-15,-0.1146196854653033,0.0005477225573366,0.0115589887877064,-0.2346518875145844,0.0009904304018909,0.0392667111313858,0.1268529946063527,0.0059947294859042,-0.0453937430290704,-0.5159309231606546,0.0026411663167854,-0.0135698428323653,-0.0399394611975138,0.0022495134426225,-0.0020840094779937,0.0217649996512778,0.0023872759888159,6.25929425389209,34.314062857750606,320,64,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.333333333333333,-0.03458693853716517,0.15699303221783717,-0.08898861601720706,-0.06313343877242572,-1.1665381853609582,2.3965806348677257,-1.1287381289474545,-1.139690922877789
22010.7,1330.0,0.166,9290.0,1.161,542.0,0.068,30.45,93484.0,60.02,261300.0,0.0001943634596694,0.1159343568025412,-0.0439621739361418,-0.1712208487346815,0.0042859932094581,-0.061712036805826,0.0005000000000012,0.0018088745146602,-0.001996917736183,0.0004551294949167,0.0002661288955781,0.0067373307693198,0.0004576928649438,-1.7259331421181592e-16,3.4644118103437626e-15,0.0,-1.992372799758118e-17,-6.907546437568491e-17,0.0,-6.307575568499701e-18,3.825513849350259e-17,0.0,-6.184147715439009e-15,0.0440841820635646,0.0,0.0024706666109108,-0.1938032314708239,0.0004577377082556,0.0238068975358967,0.0649842459076201,0.0037663055467187,-0.0111039338987047,0.3568984669866721,0.0019028601324272,-0.0200304573157029,-0.121037182112358,0.0025748350918658,-0.0075719246510205,0.0082952758552295,0.002733913167594,6.254957145028748,34.83540033934363,325,65,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.416666666666667,-0.03823267744132487,0.15699303221783717,-0.08923231473806052,-0.06615399769553912,-1.2895006048589541,2.3965806348677257,-1.1318292213872991,-1.1942183437442315
22310.71,1330.5,0.166,9298.0,1.162,543.0,0.068,30.44,93484.0,60.04,261200.0,0.0001943634596694,0.1159343568025412,-0.0431387132763109,-0.1708380736103908,-0.0059995999950022,-0.0771384208781695,0.0005477225575063,0.0003970535084786,0.0142948940552641,0.0004805750523619,4.83839781489191e-05,0.003572650860334,0.0004611330373772,-3.443286049877517e-16,-6.921570471520921e-15,0.0,-1.9209632873802708e-17,-3.8037230473825293e-16,0.0,5.338088720532939e-17,4.572611323822448e-18,0.0,0.0119994000266554,0.1851250417074247,0.0004472135952926,0.0024706705681275,-0.1055583785069611,0.0005070925528706,0.0121937663533991,-0.0170562345277025,0.0019841324575692,0.0229336503067422,-0.1355217739985686,0.0022059346722483,-0.015130924214669,-0.0810891461393891,0.0022823068787347,-0.0095297415352886,-0.0123982475334011,0.0028199013625843,6.25062304137854,35.35641130822488,330,66,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.5,-0.037599572162043765,0.15699303221783717,-0.08857470708431536,-0.06817516523436666,-1.2681474144676905,2.3965806348677257,-1.1234880777007143,-1.2307046549987213
22610.7,1331.5,0.1665,9307.0,1.163,543.0,0.068,30.43,93472.0,60.05,261500.0,0.003206997084548,0.1159343568025412,-0.0423152526164797,-0.1719859597130924,0.0042855646053762,0.0734631507270027,0.0004472135955013,-0.0003529608567558,-0.0029664220132311,0.0004705619740574,-2.4199314053333557e-05,-0.0003506267005674,0.0004722165877507,2.765322813414446e-16,1.1459381451037947e-14,0.0,8.494202184101318e-18,-1.2067134764488463e-16,0.0,-2.222069625451376e-17,-2.1553471576131468e-17,0.0,0.0137146639453677,0.0587812338305743,0.0005477225573325,0.0097942151700007,-0.0071628093372389,0.0008338093878521,0.0072339960882355,-0.0821203270114463,0.0011591713250882,0.0268978650416884,0.2691089476077708,0.0029888340867539,0.0100124257239778,0.0995576195670715,0.0023499344461105,-0.0070802155002721,-0.0260179226015684,0.002610179700581,6.246291940859128,35.87724310331927,335,67,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.583333333333333,-0.03458693853716517,0.15699303221783717,-0.08820734219121994,-0.07059607081095687,-1.1665381853609582,2.3965806348677257,-1.1188283944667001,-1.2744070758462476
22910.7,1330.5,0.166,9312.0,1.164,543.0,0.068,30.43,93474.0,60.06,260400.0,0.0001943634596694,0.1159343568025412,-0.0414917919566487,-0.167770586542529,-0.0042859591745371,-0.0661252707534809,0.0005000000000012,-8.827032946064807e-05,-0.0084283004430852,0.0004498677054215,0.0003387124837236,-0.0014352652771674,0.0004449589933319,1.2487072572613876e-16,-2.753384266599363e-15,0.0,7.243311734256764e-17,5.131681757430806e-16,0.0,1.912715880310689e-17,-2.8183154926614176e-17,0.0,0.0085710612143923,-0.0587866404027519,0.0,0.0128824679909458,0.055706052823851,0.0009904304018865,0.0071856008209646,-0.1040971982958687,0.0011846722229593,0.0019299110173622,-0.1956148231712978,0.0024989124965848,0.0115915552326571,0.1643390920015272,0.0026402702288364,-0.0035453044163599,-0.0235768848407696,0.0025643198492041,6.246291940859128,36.39776743172421,340,68,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.666666666666667,-0.0372749552895693,0.15699303221783717,-0.08909430873542479,-0.06684942975904365,-1.2571988311767175,2.3965806348677257,-1.1300787431332215,-1.2067723503953067
23210.68,1330.0,0.166,9321.0,1.165,543.0,0.068,30.42,93476.0,60.06,261100.0,0.0001943634596694,0.1159343568025412,-0.0406683312968175,-0.1704551519131979,0.000856953728195,0.1234366285848301,0.0002236067977526,-0.0014118255419387,-0.0032156783371681,0.0004140393356057,-0.000241945564758,-0.0011458140985336,0.0004420433223683,3.888203569414868e-16,1.1990754252985288e-15,0.0,8.628561757539274e-17,5.016782306556162e-16,0.0,1.0819313784470884e-17,-3.256718954803632e-18,0.0,0.0137146884293578,0.1219656951505696,0.0004472135952866,0.0112060261889814,0.0350277442103015,0.000861891607386,0.0085888477839372,-0.089460156621425,0.0014044264997123,-0.0321465411613773,-0.5491689544179632,0.0025061317643875,0.0050947077730671,0.0814287453882733,0.0025652750986966,0.0018809971873588,-0.0032617999140578,0.0024836917801881,6.241963841389629,36.91804066381442,345,69,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.75,-0.03664185001028819,0.15699303221783717,-0.09202340849583672,-0.0699565495417404,-1.2358456407854537,2.3965806348677257,-1.1672316592144032,-1.2628623762435445
23510.685,1331.0,0.166,9331.5,1.1665,542.5,0.068,30.43,93484.0,60.06,261700.0,0.0001943634596694,0.1159343568025412,-0.039433140307071,-0.1727504857442149,0.0042858265306041,0.0675866759535432,0.0004472135955013,-0.001014747297334,-0.0060301159355658,0.0003716116764789,-0.0005201733523388,-0.0017276487016618,0.0004275027727272,5.196641411799073e-17,-9.091701885934498e-15,0.0,4.472969202015952e-17,-3.308520901668009e-16,0.0,-6.307542712563523e-18,-8.990809569259201e-18,0.0,0.0210002999874925,0.0977065670315931,0.0005700877123792,0.0114707263181613,-0.002596362959609,0.0008823669466799,0.0112622463503361,-0.0491090903122526,0.0017137040611459,-0.0160841373538729,0.5709166201282306,0.0016312161231794,-0.0128784296103994,-0.1072058180645323,0.0025417289963726,0.0011226926024671,0.0205053735839647,0.0024413239883928,6.246291940859128,37.43853759712363,350,70,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.833333333333333,-0.036625721544620356,0.15699303221783717,-0.09459775585778696,-0.07241795983772085,-1.2353016645947714,2.3965806348677257,-1.1998848698680746,-1.3072959921902192
23810.68,1332.0,0.167,9395.5,1.1745,543.0,0.068,30.42,93490.0,60.07,260300.0,0.0062196307094266,0.1159343568025412,-0.0328454550284225,-0.1673864882086345,0.0085717414870078,-0.0382060853109468,0.0004183300132685,0.0030882684896405,0.0085526518052197,0.0004082482904641,0.0001572507590393,-0.0015526360454811,0.0004251436538825,-2.7425611949048457e-17,1.2694005388999433e-15,0.0,7.243451930924984e-17,-4.800873600482387e-16,0.0,5.338069477544483e-17,-5.796134759151159e-18,0.0,0.095147059796252,0.8244054364536266,0.0025396850198,0.0378095320301551,0.0747043775237557,0.0033373784978796,0.0193792998494119,-0.0045004046284634,0.0032835798378782,0.0400976997917897,1.0830640496817,0.0029772141773273,-0.0017400198723813,-0.1047732595161192,0.0029673122744194,0.0019692491167918,0.0309140444257373,0.0027207332716076,6.241963841389629,37.95901717661626,355,71,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,5.916666666666667,-0.031525919515283114,0.15699303221783717,-0.09291852125370656,-0.06726220530554815,-1.0632970276821803,2.3965806348677257,-1.1785853350522164,-1.2142238143529864
24110.67,1333.5,0.167,9456.0,1.182,543.0,0.068,30.42,93486.0,60.08,260800.0,0.0062196307094266,0.1159343568025412,-0.0266695000796897,-0.1693055062606127,0.0025715857159521,-0.1079999875030398,0.0002236067977531,0.0038823974904301,0.0277367559922366,0.0004418575508445,0.0012217867544796,0.0005575304726489,0.0004497764451086,9.78270617012018e-17,2.856778901855453e-15,0.0,-3.3775839278180785e-17,1.1382517179372899e-16,0.0,1.9127222527694065e-17,9.4415601197259e-19,0.0,0.0917158427816652,-0.0323584302245999,0.0023874672772177,0.0746043851159798,0.2697261603249826,0.0059976185750204,0.0348998041469268,0.039583501017702,0.0059615868056569,-5.425076239284581e-05,-0.5082294656650609,0.0024442333056413,0.013680978023327,0.0825614204837852,0.0028915789027499,0.0004447966729371,0.0283110748757927,0.0026802108323688,6.241963841389629,38.47916349127696,360,72,house_A_pcb_A_S006_Anish_control_empty_20260724_222032,6.0,-0.031818279456421954,0.15699303221783717,-0.09067141362295968,-0.06904926385172397,-1.07315765859179,2.3965806348677257,-1.1500828571377117,-1.2464839675036699
